systematic_id ; common_name ; description
YBR249C ; ARO4 ; 3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase
YBR250W ; SPO23 ; Protein of unknown function
YBR251W ; MRPS5 ; Mitochondrial ribosomal protein of the small subunit
YBR252W ; DUT1 ; Deoxyuridine triphosphate diphosphatase (dUTPase)
YBR253W ; SRB6 ; Subunit of the RNA polymerase II mediator complex
YBR254C ; TRS20 ; Core component of transport protein particle (TRAPP) complexes I-III
YBR255C-A ; RCF3 ; Mitochondrial inner membrane protein
YBR255W ; MTC4 ; Protein of unknown function
YBR256C ; RIB5 ; Riboflavin synthase
YBR257W ; POP4 ; Subunit of both RNase MRP and nuclear RNase P
YBR258C ; SHG1 ; Subunit of the COMPASS (Set1C) complex
YBR259W ; nan ; Protein of unknown function
YBR260C ; RGD1 ; GTPase-activating protein (RhoGAP) for Rho3p and Rho4p
YBR261C ; TAE1 ; AdoMet-dependent proline methyltransferase
YBR262C ; MIC12 ; Component of the MICOS complex
YBR263W ; SHM1 ; Mitochondrial serine hydroxymethyltransferase
YBR264C ; YPT10 ; Rab family GTP-binding protein
YBR265W ; TSC10 ; 3-ketosphinganine reductase
YBR267W ; REI1 ; Cytoplasmic pre-60S factor
YBR268W ; MRPL37 ; Mitochondrial ribosomal protein of the large subunit
YBR269C ; SDH8 ; Protein required for assembly of succinate dehydrogenase
YBR270C ; BIT2 ; Subunit of TORC2 membrane-associated complex
YBR271W ; EFM2 ; S-adenosylmethionine-dependent methyltransferase
YBR272C ; HSM3 ; Evolutionarily conserved 19S regulatory particle assembly-chaperone
YBR273C ; UBX7 ; UBX (ubiquitin regulatory X) domain-containing protein
YBR274W ; CHK1 ; Serine/threonine kinase and DNA damage checkpoint effector
YBR275C ; RIF1 ; Protein that binds to the Rap1p C-terminus
YBR276C ; PPS1 ; Protein phosphatase
YBR278W ; DPB3 ; Third-largest subunit of DNA polymerase II (DNA polymerase epsilon)
YBR279W ; PAF1 ; Component of the Paf1p complex involved in transcription elongation
YBR280C ; SAF1 ; F-Box protein involved in proteasome-dependent degradation of Aah1p
YBR281C ; DUG2 ; Component of glutamine amidotransferase (GATase II)
YBR282W ; MRPL27 ; Mitochondrial ribosomal protein of the large subunit
YBR283C ; SSH1 ; Subunit of the Ssh1 translocon complex
YBR284W ; nan ; Putative metallo-dependent hydrolase superfamily protein
YBR285W ; nan ; Putative protein of unknown function
YBR286W ; APE3 ; Vacuolar aminopeptidase Y
YBR287W ; nan ; Protein of unknown function
YBR288C ; APM3 ; Mu3-like subunit of the clathrin associated protein complex (AP-3)
YBR289W ; SNF5 ; Subunit of the SWI/SNF chromatin remodeling complex
YBR290W ; BSD2 ; Heavy metal ion homeostasis protein
YBR291C ; CTP1 ; Mitochondrial inner membrane citrate transporter
YBR293W ; VBA2 ; Permease of basic amino acids in the vacuolar membrane
YBR294W ; SUL1 ; High affinity sulfate permease of the SulP anion transporter family
YBR295W ; PCA1 ; Cadmium transporting P-type ATPase
YBR296C ; PHO89 ; Plasma membrane Na+/Pi cotransporter
YBR297W ; MAL33 ; MAL-activator protein
YBR298C ; MAL31 ; Maltose permease
YBR301W ; PAU24 ; Cell wall mannoprotein
YCL001W ; RER1 ; Protein involved in retention of membrane proteins
YCL001W-B ; nan ; Putative protein of unknown function
YCL002C ; nan ; Putative protein of unknown function
YCL004W ; PGS1 ; Phosphatidylglycerolphosphate synthase
YCL005W ; LDB16 ; Protein involved in lipid droplet (LD) assembly
YCL005W-A ; VMA9 ; Vacuolar H+ ATPase subunit e of the V-ATPase V0 subcomplex
YCL008C ; STP22 ; Component of the ESCRT-I complex
YCL009C ; ILV6 ; Regulatory subunit of acetolactate synthase
YCL010C ; SGF29 ; Component of the HAT/Core module of the SAGA, SLIK, and ADA complexes
YCL011C ; GBP2 ; Poly(A+) RNA-binding protein
YCL012C ; nan ; Protein of unknown function
YCL014W ; BUD3 ; Guanine nucleotide exchange factor (GEF) for Cdc42p
YCL016C ; DCC1 ; Subunit of a complex with Ctf8p and Ctf18p
YCL017C ; NFS1 ; Cysteine desulfurase
YCL018W ; LEU2 ; Beta-isopropylmalate dehydrogenase (IMDH)
YCL021W-A ; nan ; Putative protein of unknown function
YCL024W ; KCC4 ; Protein kinase of the bud neck involved in the septin checkpoint
YCL025C ; AGP1 ; Low-affinity amino acid permease with broad substrate range
YCL026C-A ; FRM2 ; Type II nitroreductase, using NADH as reductant
YCL026C-B ; HBN1 ; Protein of unknown function
YCL027W ; FUS1 ; Membrane protein localized to the shmoo tip
YCL028W ; RNQ1 ; [PIN(+)] prion
YCL029C ; BIK1 ; Microtubule-associated protein
YCL030C ; HIS4 ; Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase
YCL031C ; RRP7 ; Essential protein involved in rRNA processing and ribosome biogenesis
YCL032W ; STE50 ; Adaptor protein for various signaling pathways
YCL033C ; MXR2 ; Methionine-R-sulfoxide reductase
YCL034W ; LSB5 ; Protein involved in membrane-trafficking events at plasma membrane
YCL035C ; GRX1 ; Glutathione-dependent disulfide oxidoreductase
YCL036W ; GFD2 ; Protein of unknown function
YCL037C ; SRO9 ; Cytoplasmic RNA-binding protein
YCL038C ; ATG22 ; Vacuolar integral membrane protein required for efflux of amino acids
YCL039W ; GID7 ; Subunit of GID Complex that binds directly to central component Vid30p
YCL040W ; GLK1 ; Glucokinase
YCL043C ; PDI1 ; Protein disulfide isomerase
YCL044C ; MGR1 ; Subunit of the mitochondrial (mt) i-AAA protease supercomplex
YCL045C ; EMC1 ; Member of conserved endoplasmic reticulum membrane complex
YCL047C ; POF1 ; Nicotinamide mononucleotide-specific adenylyltransferase (NMNAT)
YCL048W ; SPS22 ; Protein of unknown function
YCL048W-A ; nan ; Putative protein of unknown function
YCL049C ; nan ; Protein of unknown function
YCL050C ; APA1 ; AP4A phosphorylase
YCL051W ; LRE1 ; Protein involved in control of cell wall structure and stress response
YCL052C ; PBN1 ; Component of glycosylphosphatidylinositol-mannosyltransferase I
YCL054W ; SPB1 ; AdoMet-dependent methyltransferase
YCL055W ; KAR4 ; Transcription factor required for response to pheromones
YCL056C ; PEX34 ; Protein that regulates peroxisome populations
YCL057C-A ; MIC10 ; Conserved component of the MICOS complex
YCL057W ; PRD1 ; Zinc metalloendopeptidase
YCL058W-A ; ADF1 ; Transcriptional repressor encoded by the FYV5 antisense strand
YCL059C ; KRR1 ; Nucleolar protein required for rRNA synthesis and ribosomal assembly
YCL061C ; MRC1 ; S-phase checkpoint protein required for DNA replication
YCL063W ; VAC17 ; Phosphoprotein involved in vacuole inheritance
YCL064C ; CHA1 ; Catabolic L-serine (L-threonine) deaminase
YCL073C ; GEX1 ; Proton:glutathione antiporter
YCR002C ; CDC10 ; Component of the septin ring, required for cytokinesis
YCR003W ; MRPL32 ; Mitochondrial ribosomal protein of the large subunit
YCR004C ; YCP4 ; Protein of unknown function
YCR005C ; CIT2 ; Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle
YCR007C ; nan ; Putative integral membrane protein
YCR008W ; SAT4 ; Ser/Thr protein kinase involved in salt tolerance, nutrient response
YCR009C ; RVS161 ; Amphiphysin-like lipid raft protein
YCR010C ; ADY2 ; Acetate transporter required for normal sporulation
YCR011C ; ADP1 ; Putative ATP-dependent permease of the ABC transporter family
YCR012W ; PGK1 ; 3-phosphoglycerate kinase
YCR013C ; nan ; Dubious open reading frame
YCR014C ; POL4 ; DNA polymerase IV
YCR015C ; CTO1 ; Protein required for cold tolerance
YCR016W ; nan ; Putative protein of unknown function
YCR017C ; CWH43 ; GPI lipid remodelase
YCR018C ; SRD1 ; Protein involved in the processing of pre-rRNA to mature rRNA
YCR019W ; MAK32 ; Protein necessary for stability of L-A dsRNA-containing particles
YCR020C ; PET18 ; Protein of unknown function
YCR020C-A ; MAK31 ; Non-catalytic subunit of N-terminal acetyltransferase of the NatC type
YCR020W-B ; HTL1 ; Component of the RSC chromatin remodeling complex
YCR021C ; HSP30 ; Negative regulator of the H(+)-ATPase Pma1p
YCR023C ; nan ; Vacuolar membrane protein of unknown function
YCR024C ; SLM5 ; Mitochondrial asparaginyl-tRNA synthetase
YCR024C-A ; PMP1 ; Regulatory subunit for the plasma membrane H(+)-ATPase Pma1p
YCR026C ; NPP1 ; Nucleotide pyrophosphatase/phosphodiesterase
YCR027C ; RHB1 ; Putative Rheb-related GTPase
YCR028C ; FEN2 ; Plasma membrane H+-pantothenate symporter
YCR028C-A ; RIM1 ; ssDNA-binding protein essential for mitochondrial genome maintenance
YCR030C ; SYP1 ; Negative regulator of WASP-Arp23 complex
YCR031C ; RPS14A ; Protein component of the small (40S) ribosomal subunit
YCR032W ; BPH1 ; Protein homologous to Chediak-Higashi syndrome and Beige proteins
YCR033W ; SNT1 ; Subunit of the Set3C deacetylase complex
YCR034W ; ELO2 ; Fatty acid elongase, involved in sphingolipid biosynthesis
YCR035C ; RRP43 ; Exosome non-catalytic core component
YCR036W ; RBK1 ; Ribokinase, phosphorylates ribose to ribose???5???phosphate
YCR037C ; PHO87 ; Low-affinity inorganic phosphate (Pi) transporter
YCR038C ; BUD5 ; GTP/GDP exchange factor for Rsr1p (Bud1p)
YCR042C ; TAF2 ; TFIID subunit (150 kDa)
YCR043C ; nan ; Putative protein of unknown function
YCR044C ; PER1 ; Protein of the endoplasmic reticulum
YCR045C ; RRT12 ; Probable subtilisin-family protease
YCR046C ; IMG1 ; Mitochondrial ribosomal protein of the large subunit
YCR047C ; BUD23 ; Methyltransferase that methylates residue G1575 of 18S rRNA
YCR048W ; ARE1 ; Acyl-CoA:sterol acyltransferase
YCR051W ; nan ; Putative protein of unknown function
YCR052W ; RSC6 ; Component of the RSC chromatin remodeling complex
YCR053W ; THR4 ; Threonine synthase
YCR054C ; CTR86 ; Essential protein of unknown function
YCR057C ; PWP2 ; Conserved 90S pre-ribosomal component
YCR059C ; YIH1 ; Negative regulator of eIF2 kinase Gcn2p
YCR060W ; TAH1 ; Component of conserved R2TP complex (Rvb1-Rvb2-Tah1-Pih1)
YCR061W ; nan ; Protein of unknown function
YCR063W ; BUD31 ; Component of the SF3b subcomplex of the U2 snRNP
YCR065W ; HCM1 ; Forkhead transcription factor
YCR066W ; RAD18 ; E3 ubiquitin ligase
YCR067C ; SED4 ; Integral ER membrane protein that stimulates Sar1p GTPase activity
YCR068W ; ATG15 ; Phospholipase
YCR069W ; CPR4 ; Peptidyl-prolyl cis-trans isomerase (cyclophilin)
YCR071C ; IMG2 ; Mitochondrial ribosomal protein of the large subunit
YCR072C ; RSA4 ; Ribosomal large subunit (60S) assembly factor
YCR073C ; SSK22 ; MAP kinase kinase kinase of HOG1 mitogen-activated signaling pathway
YCR073W-A ; SOL2 ; Protein with a possible role in tRNA export
YCR075C ; ERS1 ; Protein involved in cystine transport
YCR075W-A ; EGO2 ; Subunit of the EGO/GSE complex
YCR076C ; FUB1 ; Proteasome-binding protein
YCR077C ; PAT1 ; Deadenylation-dependent mRNA-decapping factor
YCR079W ; PTC6 ; Mitochondrial type 2C protein phosphatase (PP2C)
YCR081W ; SRB8 ; Subunit of the RNA polymerase II mediator complex
YCR082W ; AHC2 ; Component of the ADA histone acetyltransferase complex
YCR083W ; TRX3 ; Mitochondrial thioredoxin
YCR084C ; TUP1 ; General repressor of transcription, forms complex with Cyc8p
YCR086W ; CSM1 ; Nucleolar protein that mediates homolog segregation during meiosis I
YCR087C-A ; nan ; Putative protein of unknown function
YCR088W ; ABP1 ; Actin-binding protein of the cortical actin cytoskeleton
YCR089W ; FIG2 ; Cell wall adhesin, expressed specifically during mating
YCR090C ; nan ; Putative protein of unknown function
YCR091W ; KIN82 ; Putative serine/threonine protein kinase
YCR092C ; MSH3 ; Mismatch repair protein
YCR093W ; CDC39 ; Subunit of the CCR4-NOT1 core complex
YCR094W ; CDC50 ; Endosomal protein that interacts with phospholipid flippase Drs2p
YCR095C ; OCA4 ; Cytoplasmic protein required for replication of Brome mosaic virus
YCR096C ; HMRA2 ; Silenced copy of a2 at HMR
YCR097W ; HMRA1 ; Silenced copy of a1 at HMR
YCR098C ; GIT1 ; Plasma membrane permease
YCR099C ; nan ; Putative protein of unknown function
YCR101C ; nan ; Putative protein of unknown function
YCR102C ; nan ; Putative quinone oxidoreductase
YCR105W ; ADH7 ; NADPH-dependent medium chain alcohol dehydrogenase
YCR106W ; RDS1 ; Putative zinc cluster transcription factor
YCR107W ; AAD3 ; Putative aryl-alcohol dehydrogenase
YDL001W ; RMD1 ; Cytoplasmic protein required for sporulation
YDL002C ; NHP10 ; Non-essential INO80 chromatin remodeling complex subunit
YDL003W ; MCD1 ; Essential alpha-kleisin subunit of the cohesin complex
YDL004W ; ATP16 ; Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase
YDL005C ; MED2 ; Subunit of the RNA polymerase II mediator complex
YDL006W ; PTC1 ; Type 2C protein phosphatase (PP2C)
YDL007C-A ; nan ; Putative protein of unknown function
YDL007W ; RPT2 ; ATPase of the 19S regulatory particle of the 26S proteasome
YDL008W ; APC11 ; Catalytic core subunit, Anaphase-Promoting Complex/Cyclosome (APC/C)
YDL010W ; GRX6 ; Cis-Golgi localized monothiol glutaredoxin, binds Fe-S cluster
YDL013W ; SLX5 ; Subunit of the Slx5-Slx8 SUMO-targeted Ub ligase (STUbL) complex
YDL014W ; NOP1 ; Histone glutamine methyltransferase, modifies H2A at Q105 in nucleolus
YDL015C ; TSC13 ; Enoyl reductase
YDL017W ; CDC7 ; Ser/Thr kinase and catalytic subunit of DDK (Dbf4-dependent kinase)
YDL018C ; ERP3 ; Protein with similarity to Emp24p and Erv25p
YDL019C ; OSH2 ; Member of an oxysterol-binding protein family with seven members
YDL020C ; RPN4 ; Transcription factor that stimulates expression of proteasome genes
YDL021W ; GPM2 ; Nonfunctional homolog of Gpm1p phosphoglycerate mutase
YDL022W ; GPD1 ; NAD-dependent glycerol-3-phosphate dehydrogenase
YDL024C ; DIA3 ; Protein of unknown function
YDL025C ; RTK1 ; Putative protein kinase, potentially phosphorylated by Cdc28p
YDL027C ; MRX9 ; Protein that associates with mitochondrial ribosome
YDL028C ; MPS1 ; Dual-specificity kinase
YDL029W ; ARP2 ; Essential component of the Arp2/3 complex
YDL030W ; PRP9 ; Subunit of the SF3a splicing factor complex
YDL031W ; DBP10 ; Putative ATP-dependent RNA helicase of the DEAD-box protein family
YDL033C ; SLM3 ; tRNA-specific 2-thiouridylase
YDL035C ; GPR1 ; Plasma membrane G protein coupled receptor (GPCR)
YDL036C ; PUS9 ; Mitochondrial tRNA:pseudouridine synthase
YDL037C ; BSC1 ; Protein of unconfirmed function
YDL039C ; PRM7 ; Pheromone-regulated protein
YDL040C ; NAT1 ; Subunit of protein N-terminal acetyltransferase NatA
YDL042C ; SIR2 ; Conserved NAD+ dependent histone deacetylase of the Sirtuin family
YDL043C ; PRP11 ; Subunit of the SF3a splicing factor complex
YDL044C ; MTF2 ; Mitochondrial protein that interacts with mitochondrial RNA polymerase
YDL045C ; FAD1 ; Flavin adenine dinucleotide (FAD) synthetase
YDL045W-A ; MRP10 ; Mitochondrial ribosomal protein of the small subunit
YDL046W ; NPC2 ; Sterol transport protein and functional homolog of human NPC2/He1
YDL047W ; SIT4 ; Ceramide-activated, type 2A-related serine-threonine phosphatase
YDL048C ; STP4 ; Protein containing a Kruppel-type zinc-finger domain
YDL049C ; KNH1 ; Protein with similarity to Kre9p
YDL051W ; LHP1 ; RNA binding protein required for maturation of tRNA and U6 snRNA
YDL052C ; SLC1 ; 1-acyl-sn-glycerol-3-phosphate acyltransferase
YDL053C ; PBP4 ; Pbp1p binding protein
YDL054C ; MCH1 ; Protein with similarity to mammalian monocarboxylate permeases
YDL055C ; PSA1 ; GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase)
YDL056W ; MBP1 ; Transcription factor
YDL057W ; nan ; Putative protein of unknown function
YDL058W ; USO1 ; Essential protein involved in vesicle-mediated ER to Golgi transport
YDL059C ; RAD59 ; Protein involved DNA double-strand break repair
YDL060W ; TSR1 ; Protein required for processing of 20S pre-rRNA in the cytoplasm
YDL061C ; RPS29B ; Protein component of the small (40S) ribosomal subunit
YDL063C ; SYO1 ; Transport adaptor or symportin
YDL064W ; UBC9 ; SUMO-conjugating enzyme involved in the Smt3p conjugation pathway
YDL065C ; PEX19 ; Chaperone and import receptor for newly-synthesized class I PMPs
YDL066W ; IDP1 ; Mitochondrial NADP-specific isocitrate dehydrogenase
YDL067C ; COX9 ; Subunit VIIa of cytochrome c oxidase (Complex IV)
YDL069C ; CBS1 ; Mitochondrial translational activator of the COB mRNA
YDL070W ; BDF2 ; Protein involved in transcription initiation
YDL072C ; YET3 ; Protein of unknown function
YDL073W ; AHK1 ; Scaffold protein in the HKR1 sub-branch of the Hog1p-signaling pathway
YDL074C ; BRE1 ; E3 ubiquitin ligase
YDL075W ; RPL31A ; Ribosomal 60S subunit protein L31A
YDL076C ; RXT3 ; Component of the Rpd3L histone deacetylase complex
YDL077C ; VAM6 ; Guanine nucleotide exchange factor for the GTPase Gtr1p
YDL078C ; MDH3 ; Peroxisomal malate dehydrogenase
YDL079C ; MRK1 ; Glycogen synthase kinase 3 (GSK-3) homolog
YDL080C ; THI3 ; Regulatory protein that binds Pdc2p and Thi2p transcription factors
YDL081C ; RPP1A ; Ribosomal stalk protein P1 alpha
YDL082W ; RPL13A ; Ribosomal 60S subunit protein L13A
YDL083C ; RPS16B ; Protein component of the small (40S) ribosomal subunit
YDL084W ; SUB2 ; Component of the TREX complex required for nuclear mRNA export
YDL085C-A ; nan ; Putative protein of unknown function
YDL085W ; NDE2 ; Mitochondrial external NADH dehydrogenase
YDL086W ; nan ; Putative carboxymethylenebutenolidase
YDL087C ; LUC7 ; Essential protein associated with the U1 snRNP complex
YDL088C ; ASM4 ; FG-nucleoporin component of central core of nuclear pore complex (NPC)
YDL089W ; NUR1 ; Protein involved in regulation of mitotic exit
YDL090C ; RAM1 ; Beta subunit of the CAAX farnesyltransferase (FTase)
YDL091C ; UBX3 ; Clathrin-coated vesicle component, regulator of endocytosis
YDL092W ; SRP14 ; Signal recognition particle (SRP) subunit
YDL093W ; PMT5 ; Protein O-mannosyltransferase
YDL095W ; PMT1 ; Protein O-mannosyltransferase of the ER membrane
YDL097C ; RPN6 ; Essential, non-ATPase regulatory subunit of the 26S proteasome lid
YDL098C ; SNU23 ; Component of the U4/U6.U5 snRNP complex
YDL099W ; BUG1 ; Cis-golgi localized protein involved in ER to Golgi transport
YDL100C ; GET3 ; Guanine nucleotide exchange factor for Gpa1p
YDL101C ; DUN1 ; Cell-cycle checkpoint S/T protein kinase
YDL102W ; POL3 ; Catalytic subunit of DNA polymerase delta
YDL103C ; QRI1 ; UDP-N-acetylglucosamine pyrophosphorylase
YDL104C ; QRI7 ; Protein involved in threonylcarbamoyl adenosine biosynthesis
YDL105W ; NSE4 ; Component of the SMC5-SMC6 complex
YDL106C ; PHO2 ; Homeobox transcription factor
YDL107W ; MSS2 ; Peripherally bound inner membrane protein of the mitochondrial matrix
